"","V1","V2","V3","V4"
"1",0.164921465968586,0.133507853403141,0.138743455497382,0.56282722513089
"2",0.363829787234043,0.278723404255319,0.231914893617021,0.125531914893617
"3",0.143162393162393,0.215811965811966,0.561965811965812,0.0790598290598291
"4",0.146428571428571,0.139285714285714,0.289285714285714,0.425
"5",0.196969696969697,0.318181818181818,0.378787878787879,0.106060606060606
"6",0.0441919191919192,0.829545454545455,0.0492424242424242,0.077020202020202
"7",0.0416666666666667,0.849747474747475,0.0517676767676768,0.0568181818181818
"8",0.0391414141414141,0.849747474747475,0.0492424242424242,0.0618686868686869
"9",0.0391414141414141,0.842171717171717,0.0492424242424242,0.0694444444444444
"10",0.0509433962264151,0.0735849056603774,0.0622641509433962,0.813207547169811
"11",0.0584905660377358,0.069811320754717,0.0622641509433962,0.809433962264151
"12",0.0509433962264151,0.069811320754717,0.069811320754717,0.809433962264151
"13",0.0471698113207547,0.0735849056603774,0.0660377358490566,0.813207547169811
"14",0.0547169811320755,0.069811320754717,0.0622641509433962,0.813207547169811
"15",0.0547169811320755,0.069811320754717,0.0547169811320755,0.820754716981132
"16",0.205426356589147,0.531007751937985,0.151162790697674,0.112403100775194
"17",0.179389312977099,0.538167938931298,0.16412213740458,0.118320610687023
"18",0.197674418604651,0.492248062015504,0.174418604651163,0.135658914728682
"19",0.809433962264151,0.0584905660377358,0.0584905660377358,0.0735849056603774
"20",0.827519379844961,0.0523255813953488,0.060077519379845,0.060077519379845
"21",0.823643410852713,0.0484496124031008,0.0678294573643411,0.060077519379845
"22",0.827519379844961,0.0484496124031008,0.0562015503875969,0.0678294573643411
"23",0.792635658914729,0.0523255813953488,0.0755813953488372,0.0794573643410853
"24",0.815891472868217,0.0523255813953488,0.063953488372093,0.0678294573643411
"25",0.79811320754717,0.0547169811320755,0.0773584905660377,0.069811320754717
"26",0.820075757575758,0.0549242424242424,0.0625,0.0625
"27",0.0844748858447489,0.0844748858447489,0.705479452054795,0.125570776255708
"28",0.0844748858447489,0.0753424657534247,0.710045662100457,0.13013698630137
"29",0.089041095890411,0.0799086757990868,0.710045662100457,0.121004566210046
"30",0.105392156862745,0.0955882352941176,0.654411764705882,0.144607843137255
"31",0.0844748858447489,0.0844748858447489,0.719178082191781,0.111872146118721
"32",0.0527156549520767,0.0846645367412141,0.784345047923323,0.0782747603833866
"33",0.0559105431309904,0.0718849840255591,0.793929712460064,0.0782747603833866
"34",0.045679012345679,0.803703703703704,0.102469135802469,0.0481481481481481
"35",0.0967078189300412,0.273662551440329,0.532921810699588,0.0967078189300412
"36",0.0882352941176471,0.115384615384615,0.717194570135747,0.0791855203619909
"37",0.0746606334841629,0.0927601809954751,0.735294117647059,0.0972850678733032
"38",0.0746606334841629,0.115384615384615,0.721719457013575,0.0882352941176471
"39",0.681208053691275,0.130872483221477,0.0906040268456376,0.0973154362416107
"40",0.661073825503356,0.124161073825503,0.110738255033557,0.104026845637584
"41",0.640939597315436,0.130872483221477,0.124161073825503,0.104026845637584
"42",0.65625,0.149305555555556,0.100694444444444,0.09375
"43",0.145,0.171666666666667,0.615,0.0683333333333333
"44",0.131666666666667,0.185,0.628333333333333,0.055
"45",0.109958506224066,0.711618257261411,0.0892116182572614,0.0892116182572614
"46",0.105809128630705,0.711618257261411,0.0809128630705394,0.101659751037344
"47",0.101659751037344,0.736514522821577,0.0726141078838174,0.0892116182572614
"48",0.122406639004149,0.711618257261411,0.0809128630705394,0.0850622406639004
"49",0.137867647058824,0.193014705882353,0.119485294117647,0.549632352941177
"50",0.0614754098360656,0.0450819672131148,0.853825136612022,0.0396174863387978
